ID,Nombre,Clasificación,Proceso,Periodicidad,Sentido,Fórmula,Responsable,Fuente
68,Evaluación de desempeño a proveedores críticos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
69,Oportunidad de Respuesta Solicitudes de Compra No ,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
73,Tiempo respuesta selección y contratación de colab,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
74,Efectividad en las contrataciones,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
77,Disponibilidad de servicios tecnológicos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
78,Cumplimiento programa de auditoría,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
79,Cierre Eficaz De Oportunidades De Mejora De Audito,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
84,Funcionamiento del COPASST,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
85,Plan de Emergencias,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
86,Reporte e investigación,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
87,Autoevaluación,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
88,Ejecución del plan de trabajo,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
89,Ejecución plan de capacitación,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
90,Ejecución de Simulacros,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
91,Participación en capacitaciones SST,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
92,Evaluación condiciones de salud (examen médico),✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
94,Cobertura Elementos de Protección Personal,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
95,Inspecciones de seguridad,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
100,Cumplimiento de requisitos legales SST,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
104,Tasa de accidentalidad,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
106,Mortalidad de los accidentes laborales,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
108,Nivel de Satisfacción Servicios Prestados - Direcc,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
110,Nivel de Satisfacción Servicios Prestados - Gestió,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
111,Nivel de Satisfacción Servicios Prestados - Gestió,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
112,Nivel de Satisfacción Servicios Prestados - Gestió,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
113,Nivel de Satisfacción Servicios Prestados - Gestió,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
114,Nivel de Satisfacción Servicios Prestados - Gestió,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
115,Nivel de Satisfacción Servicios Prestados - Gestió,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
116,Nivel de Satisfacción Servicios Prestados - AUDITO,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
118,Nivel de Satisfacción del sistema de gestión de ca,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
121,Ejecución presupuestal de la nómina acumulada,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
122,Eficacia en la solicitud documental- por periodo,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
