ID,Nombre,Clasificación,Proceso,Periodicidad,Sentido,Fórmula,Responsable,Fuente
53,Eficacia en planes de acción implementados,✅,✅,✅,❌,✅,✅,Ficha Técnica
54,CALIDAD DE AGUA POTABLE SEDE CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
56,"	
CONSUMO DE PAPEL SEDE CAMPUS",✅,✅,✅,❌,✅,✅,Ficha Técnica
58,EBITDA,✅,✅,✅,✅,✅,✅,Ficha Técnica
61,CONSUMO ENERGÍA ELÉCTRICA SEDE CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
62,GESTIÓN DEL AIRE SEDE CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
63,MANTENIMIENTO DISEÑO PAISAJÍSTICO SEDE CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
64,EDUCACIÓN AMBIENTAL,✅,✅,✅,❌,✅,✅,Ficha Técnica
65,EFICACIA EN CAPACITACIÓN AMBIENTAL,✅,✅,✅,❌,✅,✅,Ficha Técnica
66,CUMPLIMIENTO SGA SEDE CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
67,CONSUMO DE AGUA SEDE CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
68,Evaluación de desempeño a proveedores críticos,✅,✅,✅,✅,✅,✅,Ficha Técnica
69,Oportunidad de respuesta solicitudes de compra no ,✅,✅,✅,✅,✅,✅,Ficha Técnica
70,Ejecución presupuestal CAPEX Infraestructura,✅,✅,✅,❌,❌,✅,Ficha Técnica
71,Ejecución presupuestal OPEX infraestructura,✅,✅,✅,❌,❌,✅,Ficha Técnica
73,Tiempo respuesta selección y contratación de colab,✅,✅,✅,✅,✅,✅,Ficha Técnica
74,Efectividad en las contrataciones,✅,✅,✅,✅,✅,✅,Ficha Técnica
77,Disponibilidad de servicios tecnológicos,✅,✅,✅,✅,✅,✅,Ficha Técnica
78,Cumplimiento Programa De Auditoría,✅,✅,✅,✅,✅,✅,Ficha Técnica
79,Cierre Eficaz De Oportunidades De Mejora De Audito,✅,✅,✅,✅,✅,✅,Ficha Técnica
84,Funcionamiento del Copasst,✅,✅,✅,✅,✅,✅,Ficha Técnica
85,Plan de Emergencias,✅,✅,✅,✅,✅,✅,Ficha Técnica
86,Reporte e Investigación,✅,✅,✅,✅,✅,✅,Ficha Técnica
87,Autoevaluación,✅,✅,✅,✅,✅,✅,Ficha Técnica
88,Seguimiento del plan de trabajo,✅,✅,✅,✅,✅,✅,Ficha Técnica
89,Ejecución plan de capacitación,✅,✅,✅,✅,✅,✅,Ficha Técnica
90,Ejecución de Simulacros,✅,✅,✅,✅,✅,✅,Ficha Técnica
91,Participación en capacitaciones SST,✅,✅,✅,✅,✅,✅,Ficha Técnica
92,Evaluación condiciones de salud (Examen Médico),✅,✅,✅,✅,✅,✅,Ficha Técnica
94,Cobertura de colaboradores con Elementos de Protec,✅,✅,✅,✅,✅,✅,Ficha Técnica
95,Inspecciones de seguridad,✅,✅,✅,✅,✅,✅,Ficha Técnica
96,Inducción Institucional,✅,✅,✅,✅,✅,✅,Ficha Técnica
100,Cumplimiento de requisitos legales SST,✅,✅,✅,✅,✅,✅,Ficha Técnica
104,Tasa de accidentalidad,✅,✅,✅,✅,✅,✅,Ficha Técnica
106,Mortalidad de los accidentes laborales,✅,✅,✅,✅,✅,✅,Ficha Técnica
108,Nivel de Satisfacción Servicios Prestados,✅,✅,✅,✅,✅,✅,Ficha Técnica
109,Nivel de satisfacción de los servicios prestados,✅,✅,✅,✅,✅,❌,Ficha Técnica
110,Nivel de Satisfacción Servicios Prestados,✅,✅,✅,✅,✅,✅,Ficha Técnica
111,NIVEL DE SATISFACCIÓN SERVICIOS PRESTADOS,✅,✅,✅,✅,✅,✅,Ficha Técnica
112,Nivel de Satisfacción Servicios Prestados,✅,✅,✅,✅,✅,✅,Ficha Técnica
113,Nivel de Satisfacción Servicios Prestados,✅,✅,✅,✅,✅,✅,Ficha Técnica
114,Nivel de satisfacción de los servicios prestados -,✅,✅,✅,✅,✅,✅,Ficha Técnica
115,Nivel de Satisfacción Servicios Prestados,✅,✅,✅,✅,✅,✅,Ficha Técnica
116,Nivel de Satisfacción Servicios Prestados - Percep,✅,✅,✅,✅,✅,✅,Ficha Técnica
117,Nivel de Satisfacción Servicios Prestados,✅,✅,✅,✅,✅,✅,Ficha Técnica
118,Nivel de Satisfacción del sistema de gestión de ca,✅,✅,✅,✅,✅,✅,Ficha Técnica
121,Ejecución presupuestal de la nómina acumulada,✅,✅,✅,✅,✅,✅,Ficha Técnica
122,Eficacia en la solicitud documental- por periodo,✅,✅,✅,✅,✅,✅,Ficha Técnica
124,Indice de Frecuencia de accidentalidad,✅,✅,✅,✅,✅,✅,Ficha Técnica
125,Indice de severidad,✅,✅,✅,✅,✅,✅,Ficha Técnica
126,Indice de Prevalencia EL Enfermedad laboral,✅,✅,✅,✅,✅,✅,Ficha Técnica
127,Indice de Incidencia EL Enfermedad laboral,✅,✅,✅,✅,✅,✅,Ficha Técnica
128,Ausentísmo por causa médica,✅,✅,✅,✅,✅,✅,Ficha Técnica
131,Movilidad  Saliente ,✅,✅,✅,✅,✅,✅,Ficha Técnica
132,Movilidad  Entrante ,✅,✅,✅,✅,✅,✅,Ficha Técnica
133,Nivel de Satisfacción Servicios Prestados,✅,✅,✅,✅,✅,✅,Ficha Técnica
134,COMPENSACIÓN HUELLA DE CARBONO SEDE CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
135,Nivel de cumplimiento de la gestión de internacion,✅,✅,✅,✅,✅,✅,Ficha Técnica
136,Ejecución de actividades culturales,✅,✅,✅,✅,✅,✅,Ficha Técnica
137,Ejecución de Talleres de formación,✅,✅,✅,✅,✅,✅,Ficha Técnica
139,Ejecución presupuestal del gasto,✅,✅,✅,✅,✅,✅,Ficha Técnica
140,Ejecución presupuestal del CAPEX,✅,✅,✅,✅,❌,✅,Ficha Técnica
141,Cumplimiento Semana 0 - Pregrado,✅,✅,✅,✅,✅,✅,Ficha Técnica
142,Cumplimiento semana 0 - Postgrado,✅,✅,✅,✅,✅,✅,Ficha Técnica
143,Proyectos de investigación e innovación- Metrica,✅,✅,✅,✅,✅,✅,Ficha Técnica
144,Productos de investigación,✅,✅,✅,✅,✅,✅,Ficha Técnica
145,"Semilleros de investigación, innovación y creación",✅,✅,✅,✅,✅,✅,Ficha Técnica
146,Profesores vinculados a investigación,✅,✅,✅,✅,✅,✅,Ficha Técnica
147,Grupos de investigación reconocidos y categorizado,✅,✅,✅,✅,✅,✅,Ficha Técnica
148,Estudiantes vinculados a investigación,✅,✅,✅,✅,✅,✅,Ficha Técnica
150,Nivel de Satisfacción Servicios Prestados,✅,✅,✅,✅,✅,✅,Ficha Técnica
151,Nivel de Satisfacción Servicios Prestados,✅,✅,✅,✅,✅,✅,Ficha Técnica
152,APLICACIÓN EVALUACIÓN DESEMPEÑO PROVEEDORES,✅,✅,✅,❌,✅,✅,Ficha Técnica
