Proceso,Subproceso,Indicador Propuesto
COMUNICACIÓN Y POSICIONAMIENTO ESTRATÉGICO,Gestión de campañas integradas de marketing,% Percepción de la experiencia de POLITV 
COMUNICACIÓN Y POSICIONAMIENTO ESTRATÉGICO,Gestión de campañas integradas de marketing,% Satisfacción contenidos directivos
"MERCADEO, ADMISIONES  Y MATRÍCULA",Mercadeo y venta de educación para la vida,Numero de estudiantes en microcertificaciones 
EXTENSIÓN,Gestión de la Responsabilidad Social,Numero de estudiantes virtuales participantes en actividades de bienestar
EXTENSIÓN,Gestión de la Responsabilidad Social,Numero de estudiantes virtuales participantes en actividades de bienestar Psicosocial 
GESTIÓN DE ABASTECIMIENTO,GESTIÓN DE ABASTECIMIENTO,Eficiencia en la reducción de costos en la gestión de abastecimiento 
GESTIÓN DE ABASTECIMIENTO,GESTIÓN DE ABASTECIMIENTO,EBITDA
GESTIÓN DE ABASTECIMIENTO,GESTIÓN DE ABASTECIMIENTO,"% Proveedores que partiticiparon en inducción, boletines)"
COMUNICACIÓN Y POSICIONAMIENTO ESTRATÉGICO,Comunicaciones Externas,Número de apariciones del POLI en medios regionales y locales. 
GESTIÓN FINANCIERA,Contabilidad,EBITDA
GESTIÓN FINANCIERA,Contabilidad,% Disminución de gastos no deducibles /Valor  Beneficios Tributarios Aplicables / % disminución en Valor de la Renta
GESTIÓN FINANCIERA,Contabilidad,% Disminución de tiempo promedio en la creación de proveedores / % Disminución de Numero de Reprocesos / % Satisfacción del usuario
GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,% Colaboradores formados en ciberseguridad
GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,Nivel de satisfacción del proceso de Tecnología de la Información
GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,Disminución de tiempos en el desarrollo de aplicaciones 
GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,Numero de aplicaciones con el nuevo marco de arquitectura digital
EXPERIENCIA INSTITUCIONAL,EXPERIENCIA INSTITUCIONAL,Indicadores de experiencia (CSAT-CES-NPS) posgrado
GESTIÓN Y DESARROLLO DEL TALENTO HUMANO,GESTIÓN Y DESARROLLO DEL TALENTO HUMANO,% Colaboradores medidos por KPI's
INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS,Gestión Infraestructura Física,% Areas renovadas
DOCENCIA,Operaciones Académicas,Indice de optimización de la programación academica 
DOCENCIA,Operaciones Académicas,"% De aulas master creadas por SIMA
% De banco de preguntas creados por SIMA"
DOCENCIA,Operaciones Académicas,% de contratos con seguimiento 
SERVICIO Y PERMANENCIA,Permanencia,Tasa de permanencia posgrado virtual
"MERCADEO, ADMISIONES  Y MATRÍCULA",Mercadeo y venta de educación para la vida,% CSU Capacitados 
SERVICIO Y PERMANENCIA,Rematrícula,Total matriculas estudiantes antiguos
SERVICIO Y PERMANENCIA,Servicio,SSI en la atención al usuario
INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS,Administración de Servicios Generales,Ebitda
INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS,Administración de Servicios Generales,% de Outsourcing y colaboradores propios capacitados 
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN ","Investigación, desarrollo tecnológico, innovación y creación",# de publicaciones en Paradigma 
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN ","Investigación, desarrollo tecnológico, innovación y creación",% de estudiantes vinculados en actividades de investigación
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN ","Investigación, desarrollo tecnológico, innovación y creación",# Productos de nuevo conocimiento y desarrollo tecnológico
SERVICIO Y PERMANENCIA,Registro y Control,% estudiantes que realizan titulación autogestionada
GESTIÓN FINANCIERA,Planeación Financiera,Ebitda
COMUNICACIÓN Y POSICIONAMIENTO ESTRATÉGICO,Comunicaciones Externas,% Experiencia en los eventos
DOCENCIA,Gestión de unidades académicas,% Permenancia programas FNGS
DOCENCIA,Gestión de unidades académicas,% Permenancia programas FIDI
DOCENCIA,Gestión de unidades académicas,% de Programas con reforma curricular implementada
DOCENCIA,Gestión de unidades académicas,% Permenancia programas FSCC
"MERCADEO, ADMISIONES  Y MATRÍCULA",Mercadeo de programas académicos,Número de mercados internacionales definidos
"MERCADEO, ADMISIONES  Y MATRÍCULA",Mercadeo y venta de educación para la vida,Número de productos de educación continuada intergeneracionales propuestos
"MERCADEO, ADMISIONES  Y MATRÍCULA",Mercadeo de programas académicos,Ingresos educación para la vida Linea B2B y B2C
"MERCADEO, ADMISIONES  Y MATRÍCULA",Mercadeo de programas académicos,Ingresos por modalidad de pago bonos
"MERCADEO, ADMISIONES  Y MATRÍCULA",Mercadeo de programas académicos,Total leads canal de captación diigital
"MERCADEO, ADMISIONES  Y MATRÍCULA",Mercadeo de programas académicos,% de crecimiento de Policorresponsales en municipios
DOCENCIA,Operaciones Académicas,% estudiantes que realizan titulación autogestionada
SERVICIO Y PERMANENCIA,Permanencia,SSI en la atención al usuario
"MERCADEO, ADMISIONES  Y MATRÍCULA",Mercadeo y venta de educación para la vida,Ingresos educación para la vida Linea B2G
DOCENCIA,Gestión Docente,Relación Estudiantes por Docente TCE
GESTIÓN JURÍDICA Y NORMATIVA,GESTIÓN JURÍDICA Y NORMATIVA,Disminución de costos de archivo físico y virtual
