Id,Indicador,Clasificacion,Linea,Periodicidad,Meta,Objetivo,Orden CMI,Nivel
68,Evaluación de desempeño a proveedores críticos,Operativo,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,448.0,Nivel 3
69,Oportunidad de Respuesta Solicitudes de Compra No Licitadas,Operativo,Transformación_Organizacional,Trimestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,265.0,Nivel 3
73,Tiempo respuesta selección y contratación de colaboradores de planta,Operativo,Transformación_Organizacional,Semestral,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",266.0,Nivel 3
74,Efectividad en las contrataciones,Operativo,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,267.0,Nivel 3
77,Disponibilidad de servicios tecnológicos,Estratégico,Transformación_Organizacional,Mensual,"Contar con una arquitectura IT implementada al 100%, con un 99,7% de disponibilidad","Asegurar una arquitectura tecnológica institucional, centrada en la experiencia de la comunidad educativa",57.0,Nivel 1
78,Cumplimiento programa de auditoría,Estratégico,Transformación_Organizacional,Bimestral,Impulsar la mejora y optimización de procesos,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,268.0,Nivel 1
79,Cierre Eficaz De Oportunidades De Mejora De Auditoria Interna,Operativo,Transformación_Organizacional,Bimestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,269.0,Nivel 3
84,Funcionamiento del COPASST,Estratégico,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",270.0,Nivel 1
85,Plan de Emergencias,Operativo,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",271.0,Nivel 3
86,Reporte e investigación,Estratégico,Transformación_Organizacional,Semestral,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",272.0,Nivel 1
87,Autoevaluación,Operativo,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",273.0,Nivel 3
88,Ejecución del plan de trabajo,Operativo,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",274.0,Nivel 3
89,Ejecución plan de capacitación,Operativo,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",275.0,Nivel 3
90,Ejecución de Simulacros,Operativo,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",276.0,Nivel 3
91,Participación en capacitaciones SST,Operativo,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",277.0,Nivel 3
92,Evaluación condiciones de salud (examen médico),Operativo,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",278.0,Nivel 3
94,Cobertura Elementos de Protección Personal,Operativo,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",279.0,Nivel 3
95,Inspecciones de seguridad,Operativo,Transformación_Organizacional,Semestral,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",280.0,Nivel 3
100,Cumplimiento de requisitos legales SST,Operativo,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",281.0,Nivel 3
104,Tasa de accidentalidad,Operativo,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",282.0,Nivel 3
106,Mortalidad de los accidentes laborales,Operativo,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",283.0,Nivel 3
108,Nivel de Satisfacción Servicios Prestados - Direccionamiento estratégico,Estratégico,Experiencia,Anual,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,221.0,Nivel 1
110,Nivel de Satisfacción Servicios Prestados - Gestión financiera,Estratégico,Experiencia,Anual,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,155.0,Nivel 1
111,Nivel de Satisfacción Servicios Prestados - Gestión de abastecimiento,Operativo,Experiencia,Trimestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,156.0,Nivel 3
112,Nivel de Satisfacción Servicios Prestados - Gestión Infraestructura Física,Estratégico,Transformación_Organizacional,Anual,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,284.0,Nivel 1
113,Nivel de Satisfacción Servicios Prestados - Gestión y desarrollo del talento humano,Operativo,Experiencia,Anual,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,157.0,Nivel 3
114,Nivel de Satisfacción Servicios Prestados - Gestión de la tecnología e innovación digital,Estratégico,Experiencia,Anual,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,158.0,Nivel 1
115,Nivel de Satisfacción Servicios Prestados - Gestión de seguridad y salud en el trabajo,Estratégico,Experiencia,Anual,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,159.0,Nivel 1
116,Nivel de Satisfacción Servicios Prestados - AUDITORÍA INTERNA,Estratégico,Experiencia,Bimestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,160.0,Nivel 1
118,Nivel de Satisfacción del sistema de gestión de calidad,Estratégico,Experiencia,Anual,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,161.0,Nivel 1
121,Ejecución presupuestal de la nómina acumulada,Operativo,Sostenibilidad,Mensual,,Promover una cultura de optimización de recursos financieros como apalancador de la estrategia,264.0,Nivel 3
122,Eficacia en la solicitud documental- por periodo,Operativo,Transformación_Organizacional,Bimestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,285.0,Nivel 3
124,Indice de Frecuencia de accidentalidad,Operativo,Transformación_Organizacional,Mensual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",286.0,Nivel 3
125,Indice de severidad,Operativo,Transformación_Organizacional,Mensual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",287.0,Nivel 3
126,Indice de Prevalencia EL Enfermedad laboral,Operativo,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",288.0,Nivel 3
127,Indice de Incidencia EL Enfermedad laboral,Operativo,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",289.0,Nivel 3
128,Ausentísmo por causa médica,Operativo,Transformación_Organizacional,Mensual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",290.0,Nivel 3
133,Nivel de Satisfacción Servicios Prestados - Visibilidad nacional e internacional,Estratégico,Experiencia,Anual,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,162.0,Nivel 1
136,Ejecución de actividades culturales,Operativo,Experiencia,Semestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,163.0,Nivel 3
137,Ejecución de Talleres de formación,Operativo,Experiencia,Trimestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,164.0,Nivel 3
139,Ejecución presupuestal del gasto,Operativo,Sostenibilidad,Mensual,,Promover una cultura de optimización de recursos financieros como apalancador de la estrategia,222.0,Nivel 3
143,Proyectos de investigación e innovación,Operativo,Calidad,Semestral,"Avanzar en la construcción de una cultura de buena docencia centrada en el estudiante, su aprendizaje y en la excelencia pedagógica del equipo de profesores.",Fortalecer la oferta educativa y la innovación curricular,134.0,Nivel 3
144,Productos de investigación,Operativo,Calidad,Anual,,Asegurar la alta calidad a nivel institucional,84.0,Nivel 3
145,"Semilleros de Investigación, Innovación y Creación",Operativo,Calidad,Semestral,,Fortalecer la oferta educativa y la innovación curricular,85.0,Nivel 3
146,Docentes vinculados a investigación,Operativo,Calidad,Semestral,,Fortalecer la oferta educativa y la innovación curricular,86.0,Nivel 3
147,Grupos de investigación categorizados,Operativo,Calidad,Anual,,Fortalecer la oferta educativa y la innovación curricular,87.0,Nivel 3
148,Estudiantes vinculados a investigación,Operativo,Calidad,Semestral,Al 2025 alcanzar la acreditación institucional en alta calidad de la sede Bogotá ,Asegurar la alta calidad a nivel institucional,7.0,Nivel 3
150,"Nivel de Satisfacción Servicios Prestados - Investigación, desarrollo tecnológico, innovación y creación",Estratégico,Calidad,Anual,,Fortalecer la oferta educativa y la innovación curricular,88.0,Nivel 1
151,Nivel de Satisfacción Servicios Prestados - Biblioteca Institucional,Estratégico,Experiencia,Anual,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,165.0,Nivel 1
157,Indexación de bases de datos o SIRES,Estratégico,Transformación_Organizacional,Anual,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,291.0,Nivel 1
159,Nivel de Satisfacción Servicios Prestados - Editorial y Publicaciones,Estratégico,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,292.0,Nivel 1
167,Satisfacción actividades plan de bienestar,Operativo,Transformación_Organizacional,Semestral,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",293.0,Nivel 3
171,ANS documentos operativos_Inactivo,Operativo,Transformación_Organizacional,Mensual,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,294.0,Nivel 3
172,Cumplimiento plan operativo del SGC,Operativo,Transformación_Organizacional,Mensual,Ampliar el alcance del Sistema Integrado - POLISIGS y su apropiación en la comunidad,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,295.0,Nivel 3
174,Cumplimiento Plan de Formación SGC,Operativo,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,296.0,Nivel 3
176,Cumplimiento Planes de Mejora,Operativo,Transformación_Organizacional,Mensual,Impulsar la mejora y optimización de procesos,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,297.0,Nivel 3
193,Mejorar flujo de atención en todos los niveles de servicio al estudiante (ANS),Estratégico,Experiencia,Semestral,Alcanzar a una satisfacción del servicio superior al 85%.,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,34.0,Nivel 1
194,Índice de satisfacción del estudiante (SSI),Estratégico,Experiencia,Semestral,Alcanzar una tasa de permanencia intersemestral superior al 90%,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,33.0,Nivel 1
195,NPS- Net Promotor Score,Estratégico,Experiencia,Semestral,Innovar en el modelo de bienestar universitario para velar por la calidad de vida de todos los actores del POLI.,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,219.0,Nivel 1
196,(% de solicitudes procesos Pareto),Estratégico,Experiencia,Semestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,166.0,Nivel 1
197,Cumplimiento cronograma Mantenimiento de Equipos,Estratégico,Transformación_Organizacional,Trimestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,298.0,Nivel 1
199,Nivel de cumplimiento de eficacia las capacitaciones,Operativo,Transformación_Organizacional,Semestral,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",299.0,Nivel 3
200,Nivel de efectividad de las capacitaciones,Estratégico,Transformación_Organizacional,Anual,Contribuir a la formación permanente del equipo humano,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",66.0,Nivel 1
202,Great Place to Work,Estratégico,Transformación_Organizacional,Anual,Estar en el ranking de la 100 mejores empresas para trabajar en Colombia ,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",67.0,Nivel 1
203,Cumplimiento de Ingresos,Estratégico,Sostenibilidad,Semestral,Incrementar los ingresos y el presupuesto de inversión en proyectos institucionales,Promover una cultura de optimización de recursos financieros como apalancador de la estrategia,43.0,Nivel 1
204,Caja,Estratégico,Sostenibilidad,Semestral,Incrementar los ingresos y el presupuesto de inversión en proyectos institucionales,Promover una cultura de optimización de recursos financieros como apalancador de la estrategia,46.0,Nivel 1
205,Utilidad Neta,Estratégico,Sostenibilidad,Semestral,Incrementar los ingresos y el presupuesto de inversión en proyectos institucionales,Promover una cultura de optimización de recursos financieros como apalancador de la estrategia,45.0,Nivel 1
206,Inversión en CAPEX de la utilidad anterior,Estratégico,Sostenibilidad,Anual,Incrementar los ingresos y el presupuesto de inversión en proyectos institucionales,Promover una cultura de optimización de recursos financieros como apalancador de la estrategia,47.0,Nivel 1
207,Nivel de Cumplimiento Opex,Estratégico,Sostenibilidad,Semestral,Incrementar los ingresos y el presupuesto de inversión en proyectos institucionales,Promover una cultura de optimización de recursos financieros como apalancador de la estrategia,48.0,Nivel 1
208,Consumo de Agua m3 Mensual,Operativo,Sostenibilidad,Mensual,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",223.0,Nivel 3
210,Aporte de los Procesos a los Objetivos de Desarrollo Sostenible,Estratégico,Sostenibilidad,Anual,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",224.0,Nivel 1
213,Cumplimiento del Plan Anual del Sistema de Gestión Ambiental,Estratégico,Sostenibilidad,Trimestral,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",225.0,Nivel 1
214,Generación de Residuos Sólidos Mensual,Operativo,Sostenibilidad,Mensual,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",226.0,Nivel 3
215,Disminución de la Generación de Residuos per Cápita,Operativo,Sostenibilidad,Semestral,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",227.0,Nivel 3
216,Disposición Ambientalmente Adecuada de Residuos Peligrosos,Estratégico,Sostenibilidad,Anual,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",228.0,Nivel 1
217,Aprovechamiento de Residuos,Estratégico,Sostenibilidad,Mensual,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",229.0,Nivel 1
218,Consumo de Energía Eléctrica kWh Mensual,Operativo,Sostenibilidad,Mensual,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",230.0,Nivel 3
219,Disminución del Consumo de Energía Eléctrica per Cápita,Operativo,Sostenibilidad,Semestral,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",231.0,Nivel 3
220,Disminución del Consumo de Agua per Cápita,Operativo,Sostenibilidad,Semestral,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",232.0,Nivel 3
221,Riesgo de la Calidad del Agua Potable,Operativo,Sostenibilidad,Anual,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",233.0,Nivel 3
222,Calidad de las Aguas Residuales Domesticas,Operativo,Sostenibilidad,Anual,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",234.0,Nivel 3
223,Registro de Publicidad Exterior Visual,Operativo,Sostenibilidad,Anual,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",235.0,Nivel 3
224,Cumplimiento Nivel de Emisión de Ruido,Operativo,Sostenibilidad,Anual,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",236.0,Nivel 3
225,Acciones para el Cuidado y Mantenimiento de las Especies de Flora y el Suelo de las Áreas Naturales,Operativo,Sostenibilidad,Mensual,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",237.0,Nivel 3
226,Generación de Gases de Efecto Invernadero,Operativo,Sostenibilidad,Anual,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",238.0,Nivel 3
227,Generación de  Gases de Efecto Invernadero per Cápita,Operativo,Sostenibilidad,Anual,,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",239.0,Nivel 3
