proceso,fortalezas_interna,oportunidades_mejora_interna,hallazgos_interna,no_conformidades_interna,recomendacion_desempeno_interna,fortalezas_externa,oportunidades_mejora_externa,hallazgos_externa,no_conformidades_externa,recomendacion_desempeno_externa
AUDITORIA INTERNA,"La constitución y operación del comité de auditoría, como una instancia clave de gestión estratégica, contribuye en la medida en que esta instancia se convierte en un actor proactivo en la identificación de riesgos, la promoción de la eficiencia operativa y la mejora continua del control interno.","La revisión del alcance y los límites de auditoría, para la determinación del programa, considerando las normas internacionales de auditoría y las diversas metodologías que pueden utilizarse desde diversos enfoques como: estrategia, cumplimiento, desarrollo, aseguramiento, entre otros. Además, repensar los riesgos y oportunidades en clave de aporte a la estrategia de la organización. | Conviene enfocarse en la efectividad del análisis de recurrencia de no conformidades, trascendiendo la mera identificación para adoptar un enfoque prospectivo, para que se evalué si la organización está logrando enlazar las no conformidades recurrentes con sus causas raíz subyacentes y si se están identificando patrones o deficiencias sistémicas. | Se sugiere determinar si el comité de auditoría cuenta con la independencia y los recursos necesarios para influir efectivamente en las decisiones estratégicas de la organización, asegurando que sus recomendaciones sean consideradas e implementadas por la alta dirección, la efectividad de este comité es un indicador crítico de la madurez de la gobernanza corporativa y su capacidad para generar valor a largo plazo.",,,"Conviene enfocarse en la efectividad del análisis de recurrencia de no conformidades, trascendiendo la mera identificación para adoptar un enfoque prospectivo, para que se evalué si la organización está logrando enlazar las no conformidades recurrentes con sus causas raíz subyacentes y si se están identificando patrones o deficiencias sistémicas. | Se sugiere determinar si el comité de auditoría cuenta con la independencia y los recursos necesarios para influir efectivamente en las decisiones estratégicas de la organización, asegurando que sus recomendaciones sean consideradas e implementadas por la alta dirección, la efectividad de este comité es un indicador crítico de la madurez de la gobernanza corporativa y su capacidad para generar valor a largo plazo.",,,,,
AUDITORÍA Y CONTROL INTERNO,,,,,,"El comité de auditoría el cual está compuesto por varios cargos directivos en donde se destaca la participación del rector de la institución; esto permite planificar las auditorías internas de manera adecuada, generando información de valor agregado para la toma de decisiones. | La formación de auditores internos con la participación voluntaria de los colaboradores de la compañía, esto permite fortalecer los ejercicios de las auditorías internas potencializando la competencia de la organización en este sentido.","Realizar la gestión necesaria con los procesos, con el fin de agilizar la implementación de acciones correctivas derivadas de las no conformidades declaradas en la auditoría interna. | Asegurar la actualización oportuna de la plataforma Kawak para asegurar que se cuenta con el estado real de implementación de las acciones correctivas derivadas de las no conformidades de la auditoría interna.",,,
AUTOEVALUACIÓN Y AUTORREGULACIÓN,"La aplicación rigurosa de las etapas de autoevaluación diseñadas tanto para programas como para la Institución en general, permitiendo generar un enfoque estructurado y sistemático que asegura una revisión exhaustiva de la calidad educativa y el cumplimiento de los estándares, lo que fortalece la cultura de autorregulación y garantiza una mejora continua.","Establecer la responsabilidad de los seguimientos de los planes de mejoramiento planteados como resultado del proceso de autoevaluación institucional, que para este año se efectuó desde la Gerencia de Planeación y Gestión Institucional. Este seguimiento permitirá verificar el avance real de las acciones, garantizar la implementación efectiva de las mejoras y mantener la trazabilidad de los compromisos adquiridos, contribuyendo así al fortalecimiento continuo de la calidad institucional.",,,,,,,,
BIENESTAR INSTITUCIONAL,"La definición de las líneas de Bienestar institucional, debido a que permite una atención efectiva y una cobertura integral de las diversas necesidades de los estudiantes, desde la estructuración del programa en dimensiones de desarrollo, la Institución asegura que sus iniciativas no solo se centren en un único aspecto, sino que promuevan un crecimiento integral, lo que crea un entorno de apoyo que es fundamental para la retención estudiantil y el éxito académico y personal. | El esquema de aliados en el marco de “Bienestar sin fronteras”, ya que demuestra un enfoque estratégico para apalancar el programa de bienestar, desde el aprovechamiento de los recursos disponibles de los aliados externos, con lo cual la Institución puede ampliar la oferta de servicios y el alcance del programa sin incurrir en costos adicionales. Esta colaboración no solo maximiza los beneficios para los estudiantes, sino que también fortalece las relaciones comunitarias y demuestra una gestión eficiente de los recursos.","Se sugiere incluir los diferenciales en materia de deportes y cultura en la visibilidad promocional. Es crucial utilizar estos recursos como un valor agregado del servicio educativo, destacando el enfoque de educación integral, para que la Institución aproveche la oportunidad para diferenciarse de la competencia y para atraer a estudiantes que valoran el desarrollo personal y extracurricular. | Se recomienda crear una bitácora de planeación para lo que se pretende desarrollar en cada clase de cultura y deporte, esto serviría como un eje orientador del ejercicio pedagógico y garantizaría la coherencia y la progresión en los contenidos. Al no tener esta herramienta, se corre el riesgo de que las clases se vuelvan improvisadas o repetitivas, lo que impacta negativamente en el desarrollo integral y el interés de los estudiantes.",,,,,,,,
"BIENESTAR INSTITUCIONAL, CULTURA Y DEPORTE MEDELLÍN",,,,,,"Las actividades culturales, deportivas y de bienestar se desarrollan de acuerdo con la planificación institucional, manteniendo horarios, instructores asignados, recursos adecuados y seguimiento a los participantes el cual ha permitido un adecuado control operacional y una buena prestación del servicio educativo complementario. | Las actividades presenciales y semipresenciales de Bienestar Institucional programas en el politécnico Medellín incorporan medidas de prevención como la identificación de peligros y valoración de riesgos ya que permite actualizar la operacionalizad y preparación y respuesta ante emergencias. | La participación significativa y organizada de estudiantes en actividades deportivas, culturales, recreativas y de bienestar, coherente con la misión institucional de promover formación integral el cual ha permitido la coordinación operativa presentes en sus actividades y con los sistemas de gestión trabajados por el politécnico.","Estandarizar y documentar los programas y actividades de bienestar con el propósito de actualizar y formalizar procedimientos y guías para actividades deportivas, culturales, recreativas y de acompañamiento psicosocial que se manejan en la cede de Medellín.",,,
COMUNICACIONES Y POSICIONAMIENTO ESTRATÉGICO,"La mejora asociada a la evolución documental, basada en el ciclo PHVA, es una buena práctica que genera mayor claridad y aumenta las eficiencias en el proceso, en la medida en que establece los flujos de trabajo e información que se llevan a cabo, al aplicar este enfoque, la documentación no es estática, sino que se convierte en una herramienta dinámica que se perfecciona constantemente, desde la adaptación a la evolución de los procesos, las tecnologías y las necesidades de la organización. | La segmentación de comunicaciones en los diferentes canales, acorde a la necesidad de comunicar a cada audiencia, favorece el direccionamiento de contenido correcto, asegurando información relevante y personalizada, lo cual no solo reduce la saturación de información, sino que también fomenta una mayor atención y comprensión por parte del receptor.","La creación de una estrategia de alertas frente al incumplimiento de niveles de servicio por parte de los usuarios es fundamental para establecer de manera clara los sobrecostos y el esfuerzo adicional que conllevan las solicitudes extemporáneas. Al identificar y cuantificar este impacto, la Institución podrá optimizar sus recursos, mejorar la eficiencia del servicio y, al mismo tiempo, educar a los usuarios sobre la importancia de cumplir con los plazos establecidos. | Se sugiere revisar y fortalecer la matriz de free press para incluir la determinación de acciones de mitigación del impacto reputacional, de manera que no solo registre la información, sino que también contemple protocolos de respuesta y contención de cris is. Al formalizar estas acciones, la Institución estará mejor preparada para gestionar de forma proactiva y efectiva cualquier evento negativo, minimizando los daños a su imagen y credibilidad. | El análisis y mejora del plan de comunicación, para que las conclusiones y acciones de mejora identificadas se proyecten en función del esfuerzo y los objetivos de cada comunicación. Al vincular los resultados con el propósito original, la Institución podrá optimizar sus estrategias, invertir sus recursos de manera más eficiente y asegurar que cada mensaje emitido contribuya de forma significativa a la consecución de sus metas.",,,,,,,,
"CREACIÓN, MODIFICACIÓN Y CIERRE DE PROGRAMAS","La creación de programas innovadores que responden a una oferta educativa que atiende las nuevas tendencias, como por ejemplo el programa de entrenamiento deportivo en f útbol formativo, a partir de la ""Ley del Entrenador Deportivo"", le permite a la Institución anticiparse a las necesidades del sector. | La efectiva trazabilidad de la información sobre el diseño de programas aumenta la capacidad de rastrear y documentar cada etapa del proceso, desde la concepción hasta la implementación, asegurando la coherencia, la integridad y la calidad de la oferta educativa.","La revisión de las excepciones al perfil de los delegados, para efectos de elaboración de programas académicos, de tal manera que se establezcan criterios claros para estas excepciones, ya que la idoneidad del perfil de estos profesionales impacta directam ente en la calidad y pertinencia de la oferta educativa. Al formalizar esta revisión, la Institución puede asegurar que los programas sean diseñados por personal con las competencias adecuadas, mitigando riesgos de calidad y alineando la oferta con los objetivos estratégicos. | La compilación de lecciones aprendidas que surgen de los informes de completitud, con el ánimo de generar un conocimiento valioso sobre las condiciones de alta complejidad y los programas con mayor riesgo. Al documentar estos aprendizajes, la Institución puede desarrollar una capacidad de reacción más rápida y efectiva, estableciendo planes de contingencia y mejorando la toma de decisiones en futuros proyectos. | Es conveniente establecer una alineación clara entre el procedimiento de creación de programas y las fases del requisito de diseño y desarrollo curricular, definiendo los momentos clave de control para cada fase y asegurando que el proceso sea coherente, metódico y auditable. Esta integración garantiza que los programas se desarrollen de manera estructurada y que los puntos críticos de calidad sean gestionados de forma proactiva, evitando reprocesos y optimizando los tiempos de lanzamiento.",,,,,,,,
DATOS Y ANALITICA,"La integración del proceso con ingeniería de datos genera una colaboración que garantiza un tratamiento adecuado de la información, lo que protege su integridad, validez y confiabilidad a lo largo de todo el ciclo de vida de los datos, convirtiéndolos en un activo estratégico y confiable para la Institución. | La puesta en marcha de NOVUS como integrador de la información en tiempo real, a través de tableros donde se cuenta con data de interés para las diferentes áreas de la Institución, logra ndo centralizar datos críticos de diversas áreas para transformar la forma en que los procesos toman decisiones.","Se recomienda fortalecer el uso de herramientas de mejora como la actualización y formalización de la documentación, la gestión de riesgos, la formulación de indicadores y otros mecanismos de control, con el fin de garantizar la eficiencia, trazabilidad y calidad de l proceso. La implementación efectiva de estas herramientas permitirá identificar oportunidades de optimización, prevenir incidentes y tomar decisiones informadas.",,,"Se recomienda fortalecer el uso de herramientas de mejora como la actualización y formalización de la documentación, la gestión de riesgos, la formulación de indicadores y otros mecanismos de control, con el fin de garantizar la eficiencia, trazabilidad y calidad de l proceso. La implementación efectiva de estas herramientas permitirá identificar oportunidades de optimización, prevenir incidentes y tomar decisiones informadas.",,,,,
DIRECCIONAMIENTO ESTRATÉGICO,,,,,,"La oferta académica que ofrece la institución, esto denota interés por la innovación en la prestación del servicio. | El número de estudiantes matriculados para 2025 el cual se reporta como el mayor de la historia de la organización, esto refleja la eficacia del sistema de gestión y los procesos que la componen en el logro de los resultados previstos del negocio. | La inclusión de un componente de sostenibilidad en el plan de desarrollo 2022-2026, esto denota compromiso con el sistema de gestión integral. | La participación de la institución en la formulación de políticas tales como en la gestión ambiental; esto permite aportar de manera tangible desde la prestación del servicio en la mejora y prevención de problemáticas ambientales. | La planeación por retos a través del cual se conjuga el despliegue del plan de desarrollo y el de mejoramiento, esto permite aterrizar de manera adecuada la gestión de la organización en los diferentes procesos que la componen. | La integración entre el sistema de gestión (componente de calidad) y el lenguaje establecido en el marco legal del sector educación; esto incrementa significativamente el engranaje entre los procesos misionales y los requisitos del mismo. | La renovación de la flota vehicular de la organización lo cual refleja el compromiso con el componente ambiental del sistema de gestión, reduciendo la huella de carbono de la operación. | El logro de las metas de la estrategia, en donde se observa que estas son superadas más allá del 100%; lo anterior permite concluir que el sistema de gestión cumple con los resultados previstos y aporta de manera significativa en el cumplimiento de la planificación estratégica del negocio.",,,,
DIRECCIONAMIENTO ESTRATÉGICO/GOBIERNO INSTITUCIONAL,"La Institución ha logrado una estabilización en su matrícula durante el año 2025, alcanzando un total de 56,564 estudiantes, este hito no solo evidencia la detención de posibles descensos o fluctuaciones, sino que marca el inicio de una tendencia incremental en el número de estudiantes, proyectando un crecimiento futuro. | El ""Ciclo de Gestión de la Estrategia"" es un ejercicio dinámico y continuo que faculta a la Institución para la revisión constante y el replanteamiento colectivo de sus acciones estratégicas, tácticas y operativas, esto implica una evaluación periódica de la efectividad de las iniciativas implementadas y la capacidad de ajustarlas en tiempo real. | El análisis de contexto externo a través de 7 líneas (mercadeo, educativo, POLISIGS, político – legal, económico – social, tecnológico, ecológico - ODS), ayuda a identificar aspectos importantes para tener en cuenta para la planeación estratégica, generando retos interesantes desde el ámbito directivo, administrativo y académico. | El uso de herramientas tecnológicas institucionales como NOVUS y plataformas de seguimiento, las cuales han sido implementadas para facilitar el control, monitoreo y trazabilidad de los proyectos, planes y retos definidos en el marco del Plan de Desarrollo Institucional (PDI), le ha permitido a la Institución mapear de manera sistemática la gestión desarrollada a lo largo de la vigencia del PDI, favoreciendo la disponibilidad de información actualizada y centralizada para la toma de decisiones estratégicas.","Se propone realizar un análisis de contexto con enfoque prospectivo que permita identificar, con mayor precisión, los cambios que inevitablemente se presentarán en los ámbitos educativo, social y económico —como la evolución tecnológica, las transformacion es demográficas o las nuevas demandas laborales —. Este enfoque integral facilitará una comprensión profunda y anticipada de dichas tendencias, pasando de una postura reactiva a una preparación proactiva. Así, será posible diseñar estrategias de adaptación y transformación que no solo enfrenten los desafíos futuros, sino que también aprovechen las oportunidades emergentes, garantizando la pertinencia, competitividad y sostenibilidad del servicio educativo a largo plazo. | Fortalecer la alineación de los proyectos formulados con los objetivos definidos en el Plan de Desarrollo Institucional, con el fin de asegurar que los recursos sean utilizados de manera eficiente y contribuyan directamente al cumplimiento de las metas estratégicas institucionales, promoviendo así la coherencia entre la planificación y la ejecución. | Evaluar la unificación de los objetivos definidos en el Plan de Desarrollo Institucional (PDI) y los establecidos en el Sistema Integrado de Gestión (SIG), con el fin de consolidar una gestión institucional más coherente y estratégica, evitar la dispersión de esfuerzos y fortalecer el reconocimiento del SIG como herramienta clave para el cumplimiento de los objetivos institucionales. | Es necesario reforzar el enfoque estratégico actual, expandiéndolo para integrar de manera explícita y coherente los componentes complementarios de Responsabilidad Social Empresarial (RSE), Investigación, Desarrollo e Innovación (I+D+i), y Diversidad, Equi dad e Inclusión (DEI), lo que implica no verlos como iniciativas aisladas, sino como pilares interconectados de la estrategia central de la Institución. | Conviene fortalecer y expandir la incursión de la Institución en escenarios educativos con el enfoque de biolaboratorios, especialmente en el contexto de la educación superior, para dotar a los estudiantes de una experiencia práctica avanzada y altamente relevante para las demandas del mercado laboral. Los biolaboratorios no solo complementan el conocimiento teórico, sino que desarrollan habilidades técnicas y analíticas invaluables en campos como la biotecnología, las ciencias de la salud o la investigación.",,,"Revisar y clarificar la clasificación de los indicadores registrados en la plataforma Kawak, diferenciando de manera precisa cuáles corresponden a indicadores de seguimiento y control, y cuáles a indicadores de desempeño, con el fin de asegurar su adecuada alineación con los objetivos estratégicos y del proceso, facilita el análisis de resultados, y mejorar la efectividad en la toma de decisiones basada en el cumplimiento de metas estratégicas y operativas.",,,,,
