ID,nombre,clasificacion,sentido,proceso,descripcion,responsable,estado,Tipo,fecha,dependencia,incidencia,objectivos_relacionados,resultado,meta,peligro,alerta,cumplimiento,exceso,variables,series,analisis,campos_adicionales,frecuencia,fecha_corte,año_archivo,Key,Unnamed: 26
68,Evaluación de desempeño a proveedores críticos,Operativo,Positivo,GESTIÓN DE ABASTECIMIENTO,"Evalúa el nivel de cumplimiento de los proveedores críticos según criterios de calidad, oportunidad y servicio, con base en las evaluaciones semestrales realizadas.",Director de Compras y Abastecimiento,Activo,Serie Unica,2022-06-30,,,,89,80.0,60.0,65.0,80.0,100.0,"[{'valor': 89, 'nombre': 'Promedio Evaluación de Proveedor', 'simbolo': 'PEP'}]",,"2022-07-15 04:33:34 | Juan Carlos Acosta Bohorquez | Evaluación de proveedores para el periodo de Enero a Julio 2022, En este periodo se obtiene un resultado favorable por encima de la meta de cumplimiento, el promedio de las evaluaciones es ochenta y nueve  (89). seguiremos realizando seguimientos para que los proveedores que nos prestan bienes y servicios a la universidad, cada día sean mejor calificados y sus evaluaciones reflejen la calidad y la excelencia como empresa.","[{'campo': 'Objetivo Estratégico', 'respuesta': 'Garantizar una experiencia significativa y de valor agregado a la comunidad POLI'}, {'campo': 'Línea Estratégica', 'respuesta': 'Experiencia'}]",Trimestral,2022-06-30,2022,,
68,Evaluación de desempeño a proveedores críticos,Operativo,Positivo,GESTIÓN DE ABASTECIMIENTO,"Evalúa el nivel de cumplimiento de los proveedores críticos según criterios de calidad, oportunidad y servicio, con base en las evaluaciones semestrales realizadas.",Director de Compras y Abastecimiento,Activo,Serie Unica,2022-12-31,,,,93,80.0,60.0,65.0,80.0,100.0,"[{'valor': 93, 'nombre': 'Promedio Evaluación de Proveedor', 'simbolo': 'PEP'}]",,"2023-02-15 05:59:32 | Juan Carlos Acosta Bohorquez | Evaluación de proveedores para el periodo de julio  a Diciembre 2022, En este periodo se obtiene un resultado favorable por encima de la meta de cumplimiento, el promedio de las evaluaciones es noventa y tres (93) puntos. seguiremos realizando seguimientos para que los proveedores que nos prestan bienes y servicios a la universidad, cada día sean mejor calificados y sus evaluaciones reflejen la calidad y la excelencia como empresa. para este periodo los usuarios realizan las evaluaciones de forma objetiva e independiente.","[{'campo': 'Objetivo Estratégico', 'respuesta': 'Garantizar una experiencia significativa y de valor agregado a la comunidad POLI'}, {'campo': 'Línea Estratégica', 'respuesta': 'Experiencia'}]",Trimestral,2022-12-31,2022,,
68,Evaluación de desempeño a proveedores críticos,Operativo,Positivo,GESTIÓN DE ABASTECIMIENTO,"Evalúa el nivel de cumplimiento de los proveedores críticos según criterios de calidad, oportunidad y servicio, con base en las evaluaciones semestrales realizadas.",Director de Compras y Abastecimiento,Activo,Serie Unica,2023-06-30,,,,91.5,80.0,60.0,80.0,90.0,100.0,"[{'valor': 91.5, 'nombre': 'Promedio Evaluación de Proveedor', 'simbolo': 'PEP'}]",,"2023-07-10 17:41:08 | Juan Carlos Acosta Bohorquez | Evaluación de proveedores para el periodo de Enero a Junio 2023, En este periodo se obtiene un resultado favorable por encima de la meta de cumplimiento, el promedio de las evaluaciones es noventa y uno punto cinco (91.5) puntos. seguiremos realizando seguimientos para que los proveedores que nos prestan bienes y servicios a la universidad, cada día sean mejor calificados y sus evaluaciones reflejen la calidad y la excelencia como empresa. para este periodo los usuarios realizan las evaluaciones de forma objetiva e independiente.","[{'campo': 'Objetivo Estratégico', 'respuesta': 'Garantizar una experiencia significativa y de valor agregado a la comunidad POLI'}, {'campo': 'Línea Estratégica', 'respuesta': 'Experiencia'}]",Trimestral,2023-06-30,2023,,
68,Evaluación de desempeño a proveedores críticos,Operativo,Positivo,GESTIÓN DE ABASTECIMIENTO,"Evalúa el nivel de cumplimiento de los proveedores críticos según criterios de calidad, oportunidad y servicio, con base en las evaluaciones semestrales realizadas.",Director de Compras y Abastecimiento,Activo,Serie Unica,2023-12-31,,,,85,80.0,60.0,80.0,90.0,100.0,"[{'valor': 85, 'nombre': 'Promedio Evaluación de Proveedor', 'simbolo': 'PEP'}]",,"2024-02-02 00:04:22 | Juan Carlos Acosta Bohorquez | Evaluación de proveedores críticos para el periodo de Julio a diciembre 2023, En este periodo se obtiene un resultado favorable por encima de la meta de cumplimiento, el promedio de las evaluaciones es ochenta y cinco cinco (85) puntos._x000D_
Estas evaluaciones se realizaron bajo la matriz de identificación de proveedores críticos que tiene impactos como (Financiero, Operativo, Financiero, De Suministro y de Prestación del Servicio) y es el soporte para determinar el listado de terceros evaluados, de los 1.876 proveedores analizados, 269 hacen par de los críticos que corresponden a un 14% . seguiremos examinando su desempeño con el objetivo de impulsar la mejora continua, reducir riesgos y optimizar costos. Para este periodo los usuarios realizan las evaluaciones de forma objetiva e independiente.","[{'campo': 'Objetivo Estratégico', 'respuesta': 'Garantizar una experiencia significativa y de valor agregado a la comunidad POLI'}, {'campo': 'Línea Estratégica', 'respuesta': 'Experiencia'}]",Trimestral,2023-12-31,2023,,
68,Evaluación de desempeño a proveedores críticos,Operativo,Positivo,GESTIÓN DE ABASTECIMIENTO,"Evalúa el nivel de cumplimiento de los proveedores críticos según criterios de calidad, oportunidad y servicio, con base en las evaluaciones semestrales realizadas.",Director de Compras y Abastecimiento,Activo,Serie Unica,2024-06-30,,,,86,80.0,60.0,80.0,90.0,100.0,"[{'valor': 86, 'nombre': 'Promedio Evaluación de Proveedor', 'simbolo': 'PEP'}]",,"2024-07-25 10:55:52 | Juan Carlos Acosta Bohorquez | Evaluación de proveedores críticos para el periodo de Enero a junio 2024, En este periodo se obtiene un resultado favorable por encima de la meta de cumplimiento, el promedio de las evaluaciones es ochenta y seis (86) puntos._x000D_
Estas evaluaciones se realizaron bajo la matriz de identificación de proveedores críticos que tiene impactos como (Financiero, Operativo, Financiero, De Suministro y de Prestación del Servicio) y es el soporte para determinar el listado de terceros evaluados, de los 815 proveedores analizados en el primer semestre del 2024, 278 hacen par de los críticos que corresponden a un 34% . seguiremos examinando su desempeño con el objetivo de impulsar la mejora continua, reducir riesgos y optimizar costos. Para este periodo los usuarios realizan las evaluaciones de forma objetiva e independiente.","[{'campo': 'Objetivo Estratégico', 'respuesta': 'Garantizar una experiencia significativa y de valor agregado a la comunidad POLI'}, {'campo': 'Línea Estratégica', 'respuesta': 'Experiencia'}]",Trimestral,2024-06-30,2024,,
68,Evaluación de desempeño a proveedores críticos,Operativo,Positivo,GESTIÓN DE ABASTECIMIENTO,"Evalúa el nivel de cumplimiento de los proveedores críticos según criterios de calidad, oportunidad y servicio, con base en las evaluaciones semestrales realizadas.",Director de Compras y Abastecimiento,Activo,Serie Unica,2024-12-31,,,,87.5,80.0,60.0,80.0,90.0,100.0,"[{'valor': 87.5, 'nombre': 'Promedio Evaluación de Proveedor', 'simbolo': 'PEP'}]",,"2025-01-16 21:08:31 | Juan Carlos Acosta Bohorquez | Evaluación de proveedores críticos para el periodo de Julio a Diciembre 2024, En este periodo se obtiene un resultado favorable por encima de la meta de cumplimiento, el promedio de las evaluaciones es ochenta y siete (87) puntos._x000D_
Estas evaluaciones se realizaron bajo la matriz de identificación de proveedores críticos que tiene impactos como (Financiero, Operativo, Financiero, De Suministro y de Prestación del Servicio) y es el soporte para determinar el listado de terceros evaluados, de los 932 proveedores analizados en el segundo semestre del 2024, 279 hacen par de los críticos que corresponden a un 30% . seguiremos examinando su desempeño con el objetivo de impulsar la mejora continua, reducir riesgos y optimizar costos. Para este periodo los usuarios realizan las evaluaciones de forma objetiva e independiente.","[{'campo': 'Objetivo Estratégico', 'respuesta': 'Garantizar una experiencia significativa y de valor agregado a la comunidad POLI'}, {'campo': 'Línea Estratégica', 'respuesta': 'Experiencia'}]",Trimestral,2024-12-31,2024,,
68,Evaluación de desempeño a proveedores críticos,Operativo,Positivo,GESTIÓN DE ABASTECIMIENTO,"Evalúa el nivel de cumplimiento de los proveedores críticos según criterios de calidad, oportunidad y servicio, con base en las evaluaciones semestrales realizadas.",Director de Compras y Abastecimiento,Activo,Serie Unica,2025-06-30,,,,85.3,85.0,65.0,85.0,95.0,100.0,"[{'valor': 85.3, 'nombre': 'Promedio Evaluación de Proveedor', 'simbolo': 'PEP'}]",,"2026-02-21 21:51:42 | Juan Carlos Acosta Bohorquez | Evaluación de proveedores críticos para el periodo de Diciembre a Junio 2025, En este periodo se obtiene un resultado favorable por encima de la meta de cumplimiento, el promedio de las evaluaciones es ochenta y cinco (85) puntos._x000D_
Estas evaluaciones se realizaron bajo la matriz de identificación de proveedores críticos que tiene impactos como (Financiero, Operativo, Financiero, De Suministro y de Prestación del Servicio) y es el soporte para determinar el listado de terceros evaluados, de los 1.127 proveedores analizados en el primer semestre del 2025, 263 hacen parte de los críticos que corresponden a un 25% . seguiremos examinando su desempeño con el objetivo de impulsar la mejora continua, reducir riesgos y optimizar costos. Para este periodo los usuarios realizan las evaluaciones de forma objetiva e independiente.","[{'campo': 'Objetivo Estratégico', 'respuesta': 'Garantizar una experiencia significativa y de valor agregado a la comunidad POLI'}, {'campo': 'Línea Estratégica', 'respuesta': 'Experiencia'}]",Trimestral,2025-06-30,2025,68-2025-06-30,
68,Evaluación de desempeño a proveedores críticos,Operativo,Positivo,GESTIÓN DE ABASTECIMIENTO,"Evalúa el nivel de cumplimiento de los proveedores críticos según criterios de calidad, oportunidad y servicio, con base en las evaluaciones semestrales realizadas.",Director de Compras y Abastecimiento,Activo,Serie Unica,2025-12-31,,,,85.6,85.0,65.0,85.0,95.0,100.0,"[{'valor': 85.6, 'nombre': 'Promedio Evaluación de Proveedor', 'simbolo': 'PEP'}]",,"2026-03-25 17:08:33 | Juan Carlos Acosta Bohorquez | Evaluación de proveedores críticos para el periodo de Julio a Diciembre 2025, En este periodo se obtiene un resultado favorable por encima de la meta de cumplimiento, el promedio de las evaluaciones es ochenta y cinco (85.6) puntos._x000D_
Estas evaluaciones se realizaron bajo la matriz de identificación de proveedores críticos que tiene impactos como (Financiero, Operativo, Financiero, De Suministro y de Prestación del Servicio) y es el soporte para determinar el listado de terceros evaluados, de los 994 proveedores analizados en el segundo semestre del 2025, 153 hacen par de los críticos que corresponden a un 16% . seguiremos examinando su desempeño con el objetivo de impulsar la mejora continua, reducir riesgos y optimizar costos. Para este periodo los usuarios realizan las evaluaciones de forma objetiva e independiente, se agregan las evaluaciones de SST y Ambiental en cada uno de los proveedores.","[{'campo': 'Objetivo Estratégico', 'respuesta': 'Garantizar una experiencia significativa y de valor agregado a la comunidad POLI'}, {'campo': 'Línea Estratégica', 'respuesta': 'Experiencia'}]",Trimestral,2025-12-31,2025,68-2025-12-31,
69,Oportunidad de Respuesta Solicitudes de Compra No Licitadas,Operativo,Positivo,GESTIÓN DE ABASTECIMIENTO,Mide el porcentaje de solicitudes de compra no licitadas que fueron atendida dentro del plazo establecido menos de 10 días hábiles,Director de Compras y Abastecimiento,Activo,Serie Unica,2022-03-31,,,,80.080321285141,80.0,60.0,80.0,90.0,100.0,"[{'valor': 997, 'nombre': 'Total de solicitudes de compra NO licitadas con tiempo de respuesta &lt;= 10 dias', 'simbolo': 'SC&lt;=10'}, {'valor': 1245, 'nombre': 'Total solicitudes de compra no licitadas', 'simbolo': 'TS'}]",,"2022-05-09 15:39:09 | Juan Carlos Acosta Bohorquez | Con los ajustes realizados en tiempos y eficiencias del proceso, se evidencia una notable mejoría en el alcance del indicador, se continuara en el proceso de mejora para lograr y cumplir con las metas establecidas en el año 2022.","[{'campo': 'Objetivo Estratégico', 'respuesta': 'Garantizar una experiencia significativa y de valor agregado a la comunidad POLI'}, {'campo': 'Línea Estratégica', 'respuesta': 'Experiencia'}]",Semestral,2022-03-31,2022,,
69,Oportunidad de Respuesta Solicitudes de Compra No Licitadas,Operativo,Positivo,GESTIÓN DE ABASTECIMIENTO,Mide el porcentaje de solicitudes de compra no licitadas que fueron atendida dentro del plazo establecido menos de 10 días hábiles,Director de Compras y Abastecimiento,Activo,Serie Unica,2022-06-30,,,,86.824324324324,80.0,60.0,80.0,90.0,100.0,"[{'valor': 1285, 'nombre': 'Total de solicitudes de compra NO licitadas con tiempo de respuesta &lt;= 10 dias', 'simbolo': 'SC&lt;=10'}, {'valor': 1480, 'nombre': 'Total solicitudes de compra no licitadas', 'simbolo': 'TS'}]",,"2022-07-08 05:36:28 | Juan Carlos Acosta Bohorquez | Con los ajustes realizados en tiempos y eficiencias del proceso, se evidencia una notable mejoría en el alcance del indicador, se continuara en el proceso de mejora para lograr y cumplir con las metas establecidas en el año 2022.","[{'campo': 'Objetivo Estratégico', 'respuesta': 'Garantizar una experiencia significativa y de valor agregado a la comunidad POLI'}, {'campo': 'Línea Estratégica', 'respuesta': 'Experiencia'}]",Semestral,2022-06-30,2022,,
